legacy_type,legacy_shade,family,colour,grade,treatment,effect,status,note
ABA,,abalone,,,,,ok,
AGA,,agate,,,,,ok,
AGA,BL,agate,BL,,,,merged,same variety as BAG
AGA,GR,agate,GR,,,,ok,
AGA,OR,agate,OR,,,,ok,
AGA,RED,agate,RD,,,,ok,
AGA,WH,agate,WH,,,,ok,
AGA,YL,agate,YL,A,,,ok,
AK1,,akoya-pearl,,,,,merged,"drilling ""1 hole"" is not a variety axis; same variety as AK2, PR1+AK, PRL+AK"
AK1,BK,akoya-pearl,BK,,,,merged,"drilling ""1 hole"" is not a variety axis"
AK1,WH,akoya-pearl,WH,,,,merged,"drilling ""1 hole"" is not a variety axis"
AK2,,akoya-pearl,,,,,merged,"drilling ""2 holes"" is not a variety axis; same variety as AK1, PR1+AK, PRL+AK"
ALX,,alexandrite,,,,,ok,
AME,,amethyst,,,,,ok,
AME,A,amethyst,,A,,,ok,
AME,AA,amethyst,,AA,,,ok,
AME,AAA,amethyst,,AAA,,,ok,
AME,C,amethyst,,BAD,,,ok,
AME,LAV,amethyst,LV,,,,ok,
AME,ML,amethyst,,,,MILKY,ok,
AMET,,ametrine,,,,,ok,
AMZ,,amazonite,,,,,ok,
AP,,apatite,,,,,ok,
AP,GR,apatite,GR,,,,ok,
AQ,,aquamarine,,,,,ok,
AQ,A,aquamarine,,A,,,ok,
AQ,AA,aquamarine,,AA,,,ok,
AQ,AAA,aquamarine,,AAA,,,ok,
AQ,AAAA,aquamarine,,AAAA,,,ok,
AQ,C,aquamarine,,BAD,,,ok,
AQ,ML,aquamarine,,,,MILKY,ok,
AQ,SP,aquamarine,,SPECIAL,,,ok,
AVT,,aventurine,,,,,ok,
AVT,GR,aventurine,GR,,,,ok,
BAG,,agate,BL,,,,merged,same variety as AGA+BL
BDI,,diopside,BK,,,,merged,same variety as DIO+BK
BDI,BST,diopside,BK,,,STAR,ok,
BKTOU,C,tourmaline,BK,BAD,,,ok,
BON,,bone,,,,,ok,
BRL,,beryl,,,,,ok,
BRL,SAL,beryl,SL,,,,ok,
BRL,YL,beryl,YL,A,,,ok,
BRL,YM,beryl,YL,AA,,,ok,
BRZ,,bronzite,,,,,ok,
BT,,topaz,BL,,,,merged,same variety as BT+GR
BT,A,topaz,BL,A,,,ok,
BT,AA,topaz,BL,AA,,,ok,
BT,AAA,topaz,BL,AAA,,,ok,
BT,AAAA,topaz,BL,AAAA,,,ok,
BT,GR,topaz,BL,,,,conflict,"the type says Blue, the shade says Green: Blue kept; same variety as BT"
BUT,,pearl,,,,,merged,"Button is a shape, not a variety; same variety as PR1, PR2, PRL"
BZ,,zircon,BL,,,,ok,
CAC,,calcite,,,,,ok,
CAC,GR,calcite,GR,,,,ok,
CAM,,came,,,,,ok,
CAR,,carnelian,,,,,ok,
CER,,ceramic,,,,,ok,
CHA,,chalcedony,,,,,ok,
CHA,A,chalcedony,,A,,,ok,
CHA,BL,chalcedony,BL,,,,ok,
CHA,C,chalcedony,,BAD,,,ok,
CHA,GR,chalcedony,GR,,,,ok,
CHA,LAV,chalcedony,LV,,,,ok,
CHA,LI,chalcedony,LI,,,,ok,
CHA,OR,chalcedony,OR,,,,ok,
CHA,WH,chalcedony,WH,,,,ok,
CHP,,quartz,CH,,,,ok,
CHP,A,quartz,CH,A,,,ok,
CHR,,chrysoberyl,,,,,ok,
CHRP,,chrysoprase,,,,,ok,
CIT,,citrine,,,,,ok,
CIT,A,citrine,,A,,,ok,
CIT,AA,citrine,,AA,,,ok,
