legacy_type,name,family,colour,treatment,article,note
ABA,Abalone,abalone,,,AB,
AGA,Agate,agate,,,AG,
AK1,Akoya 1 Hole,akoya-pearl,,,AK,"drilling ""1 hole"" is not a variety axis"
AK2,Akoya 2 Holes,akoya-pearl,,,AO,"drilling ""2 holes"" is not a variety axis"
ALX,Alexandrite,alexandrite,,,AL,
AME,Amethyst,amethyst,,,AM,
AMET,Ametrine,ametrine,,,AE,
AMZ,Amazonite,amazonite,,,AA,
AP,Apatite,apatite,,,AP,
AQ,Aquamarine,aquamarine,,,AQ,
AQP,AQUAPRASE,aquaprase,,,AU,
AVT,Aventurine,aventurine,,,AV,
BAG,Blue Agate,agate,BL,,BE,
BDI,Black Diopside,diopside,BK,,BA,
BKTOU,Black Tourmaline,tourmaline,BK,,BC,
BON,Bone,bone,,,BO,
BRL,Beryl,beryl,,,BY,
BRZ,Bronzite,bronzite,,,BR,
BT,Blue Topaz,topaz,BL,,BL,
BTOUR,Brown Tourmaline,tourmaline,BR,,BW,
BUT,Pearl Button,pearl,,,PU,"Button is a shape, not a variety"
BZ,Blue Zircon,zircon,BL,,BU,
CAC,Calcite,calcite,,,CA,
CAM,Came,came,,,CE,
CAR,CARNELIAN,carnelian,,,CN,
CCT,Concrete,concrete,,,CT,
CER,CERAMIC,ceramic,,,CC,
CHA,Chalcedony,chalcedony,,,CH,
CHP,Champaign Quartz,quartz,CH,,CM,
CHR,Chrysoberyl,chrysoberyl,,,CY,
CHRP,Chrysophase,chrysoprase,,,CR,
CIT,Citrine,citrine,,,CI,
COG,Cognac,quartz,CG,,CG,
CORAL,Coral,coral,,,CO,
CRY,Crystal,crystal,,,CS,
CUB,Cubic,cubic-zirconia,,,CU,
DIO,Diopside,diopside,,,DO,
DRE,Dragon Eye,dragon-eye,,,DR,
DTS,Diamond,diamond,,,DI,
DYJ,Dyed Jade,jade,,DYED,DY,
EAG,Eagle Eye,eagle-eye,,,EA,
EM,Emerald,emerald,,,EM,
FLU,Fluorite,fluorite,,,FL,
FOP,Fire Opal,fire-opal,,,FI,
FYTOU,Fancy Toumaline,tourmaline,FA,,FA,
GA,Garnet,garnet,,,GA,
GQ,GREEN QUARTZ,quartz,GR,,GR,
GTOUR,Green Tourmaline,tourmaline,GR,,GE,
HMT,Hematite,hematite,,,HE,
IOL,Iolite,iolite,,,IO,
JAD,Jade,jade,,,JA,
JET,Jet,jet,,,JE,
JSP,JASPER,jasper,,,JS,
KUN,Kunzite,kunzite,,,KU,
KYA,Kyanite,kyanite,,,KY,
LAB,Labradorite,labradorite,,,LB,
LAP,Lapis,lapis,,,LA,
LAQ,Lemon Quartz,quartz,LE,,LE,
MAB,Mabe,mabe-pearl,,,MB,
MGA,Mandarin Garnet,mandarin-garnet,,,MN,
MIS,Miscellanous,miscellaneous,,,MS,
MLK,Malachite,malachite,,,MA,
MOI,Moissanite,moissanite,,,MI,
MON,Moon Stone,moonstone,,,MO,
MOP,Mother of Pearl,mother-of-pearl,,,MT,
MOR,Morganite,morganite,,,MR,
NEP,Nephrite,nephrite,,,NE,
OBS,Obsidian,obsidian,,,OB,
OLQ,Olive Quartz,quartz,OL,,OL,
ONY,Onyx,onyx,,,ON,
OP,Opal,opal,,,OP,
PAR,Paraiba,tourmaline,PA,,PB,
PER,Peridot,peridot,,,PE,
POR,Porcelain,porcelain,,,PO,
PQA,Pink Quartz,quartz,PK,,PN,
PR1,Pearl 1 Hole,pearl,,,PH,"drilling ""1 hole"" is not a variety axis"
PR2,Pearl 2 Holes,pearl,,,PL,"drilling ""2 holes"" is not a variety axis"
PREH,PREHNITE,prehnite,,,PR,
PRL,Pearl,pearl,,,PA,
PTOUR,Pink Tourmaline,tourmaline,PK,,PI,
QUB,Qubic,cubic-zirconia,,,QU,same stone as CUB
RCR,Rock Crystal,rock-crystal,,,RC,
RDC,Rhodochrosite,rhodochrosite,,,RD,
RDF,Rose de France,rose-de-france,,,RO,
RHO,Rhodolite,rhodolite,,,RH,
RU,Ruby,ruby,,,RU,
RUBE,Rubelite,rubellite,,,RB,
RUT,Rutile Quartz,rutile-quartz,,,RT,
SA,Sapphire,sapphire,,,SA,
SB,Sea Bamboo,sea-bamboo,,,SB,
SIL,Silver,silver,,,SL,
SK,Sapphire Kanchana,sapphire,KA,,SP,
SMQ,Smokey Quartz,quartz,SM,,SM,
SPE,Spessartite,spessartite,,,SE,
SPH,Sphalerite,sphalerite,,,SH,
SPI,Spinel,spinel,,,SI,
STS,Stainless,stainless,,,ST,
SUN,Sunstone,sunstone,,,SU,
SYN,Synthetic,synthetic,,,SY,
TAN,Tanzanite,tanzanite,,,TA,
THP,Tahiti Pearl,tahiti-pearl,,,TH,
TIG,Tiger Eye,tiger-eye,,,TI,
TOP,Topaz,topaz,,,TO,
TOU,Tourmaline,tourmaline,,,TR,
TSAV,Tsavorite,tsavorite,,,TS,
TU,Real Turquoise,turquoise,,REAL,RE,
TURQ,Turquoise,turquoise,,,TU,
UV,Uvite,uvite,,,UV,
WD,Wood,wood,,,WO,
WQA,White Quartz,quartz,WH,,WI,
WT,White Topaz,topaz,WH,,WH,
ZC,Zircon,zircon,,,ZI,
