legacy_type,legacy_shade,stones,lines
ABA,,1,1
AGA,,10,5
AGA,BL,4,1
AGA,GR,13,22
AGA,OR,11,4
AGA,RED,2,3
AGA,WH,38,68
AGA,YL,2,3
AK1,,16,17
AK1,BK,2,5
AK1,WH,4,9
AK2,,12,0
ALX,,4,4
AME,,15,2
AME,A,285,5777
AME,AA,324,6272
AME,AAA,227,707
AME,C,78,351
AME,LAV,1,1
AME,ML,17,77
AMET,,1,4
AMZ,,4,10
AP,,42,408
AP,GR,1,1
AQ,,3,0
AQ,A,188,48
AQ,AA,102,416
AQ,AAA,115,460
AQ,AAAA,44,88
AQ,C,22,20
AQ,ML,41,317
AQ,SP,2,1
AVT,,21,33
AVT,GR,2,2
BAG,,8,24
BDI,,6,10
BDI,BST,1,1
BKTOU,C,1,1
BON,,2,7
BRL,,4,3
BRL,SAL,2,1
BRL,YL,4,4
BRL,YM,1,1
BRZ,,4,12
BT,,7,3
BT,A,309,8473
BT,AA,186,1950
BT,AAA,216,6512
BT,AAAA,10,15
BT,GR,9,0
BUT,,13,6
BZ,,37,67
CAC,,65,216
CAC,GR,1,0
CAM,,2,5
CAR,,32,52
CER,,1,1
CHA,,97,548
CHA,A,2,0
CHA,BL,88,463
CHA,C,1,5
CHA,GR,27,14
CHA,LAV,2,4
CHA,LI,27,18
CHA,OR,1,2
CHA,WH,4,16
CHP,,51,119
CHP,A,15,21
CHR,,2,1
CHRP,,45,144
CIT,,1,0
CIT,A,268,2548
CIT,AA,298,3395
CIT,AAA,239,4354
CIT,AAAA,45,116
COG,,65,185
COG,A,1,1
CORAL,,10,0
CORAL,OR,42,187
CORAL,PK,26,102
CORAL,RCT,2,0
CORAL,REC,15,25
CORAL,RED,35,200
CRY,,12,0
CUB,,33,277
DIO,BK,2,5
DIO,GR,58,1087
DRE,,10,15
DTS,BK,36,981
DTS,BL,26,16
DTS,BR,52,1273
DTS,CH,36,9
DTS,CHP,38,574
DTS,CVD,3,6
DTS,GR,26,11
DTS,GY,20,421
DTS,ICE,19,74
DTS,LBR,36,83
DTS,NAT,22,117
DTS,PK,1,4
DTS,R,3,0
DTS,RED,26,8
DTS,SA,1,6
DTS,SI,49,2175
DTS,T1,22,21
DTS,T2,67,13136
DTS,T3,14,3
DTS,W1,228,32137
DTS,W2,168,4059
DTS,W3,46,26
DTS,WI1,44,1174
DTS,WI2,30,69
DTS,WI3,7,4
DTS,YM,26,18
DYJ,,1,1
DYJ,CH,5,1
DYJ,GR,11,26
DYJ,LAV,15,73
DYJ,PK,1,1
DYJ,RED,1,1
DYJ,WH,3,1
EAG,,13,12
EM,,1,3
EM,2,105,1012
EM,3,8,0
EM,C,63,215
EM,CS,90,276
EM,FF,9,0
EM,M,2,21
EM,REC,1,1
EM,SP,14,3
FOP,,24,10
FYTOU,,1,2
GA,,271,3813
GA,A,1,1
GA,C,2,6
GA,MLY,9,13
GQ,,245,3143
GQ,2,2,2
GQ,A,2,0
GTOUR,,136,2860
GTOUR,A,1,1
GTOUR,C,9,8
GTOUR,CD,16,10
GTOUR,CDA,16,12
GTOUR,SP,16,12
HMT,,11,19
IOL,,2,2
IOL,A,144,7452
IOL,AA,42,404
IOL,AAA,187,2219
JAD,,23,81
JAD,BK,8,10
JAD,JAD,4,0
JAD,WH,7,7
JET,,1,1
JSP,,6,3
JSP,RED,1,3
KUN,,13,14
KYA,,22,63
LAB,,17,53
LAP,,106,349
LAP,AAA,2,1
LAP,C,1,1
LAP,GD,4,4
LAP,REA,2,0
LAP,REC,2,0
LAP,RSN,2,0
LAQ,,197,1773
LAQ,A,4,1
MAB,,6,6
MAB,WA,1,0
MGA,,2,6
MLK,,70,250
MLK,GD,3,4
MOI,,7,10
MON,,29,0
MON,BK,11,16
MON,BL,28,37
MON,BR,24,58
MON,GBL,25,24
MON,GR,31,90
MON,GY,44,202
MON,OR,53,339
MON,RB,110,3451
MON,RBG,22,35
MON,WH,64,450
MON,WHCE,2,8
MON,YM,1,17
MOP,,134,542
MOP,BK,20,42
MOP,GBL,4,11
MOP,GO,1,2
MOP,GY,20,52
MOP,PK,23,133
MOP,WH,93,589
MOR,,45,115
MOR,AA,2,1
MOR,AAA,2,0
MOR,PK,3,1
NEP,,6,4
NEP,GR,4,2
OLQ,,5,9
ONY,,218,983
ONY,2,1,0
ONY,A,1,0
ONY,AK,2,0
ONY,BK,3,5
ONY,WH,11,15
OP,A,15,41
OP,AAA,8,26
OP,AAAA,1,1
OP,BK,1,3
OP,C,2,1
OP,OR,11,16
OP,PK,80,283
OP,WH,13,44
PAR,,16,33
PER,,230,9424
PER,A,2,1
PER,AAA,116,15
PER,SP,1,2
POR,WH,5,6
PQA,,261,2229
PQA,2,2,2
PQA,A,4,1
PQA,CDY,30,135
PQA,ML,7,5
PQA,PK,4,3
PQA,SR,1,4
PR1,,44,65
PR1,AK,7,7
PR1,WH,18,33
PR2,,14,11
PR2,BK,2,2
PR2,GY,1,2
PR2,PK,11,47
PR2,PM,1,0
PR2,WH,8,72
PR2,YM,1,4
PREH,,57,352
PREH,A,27,21
PREH,BL,3,3
PREH,GR,1,1
PREH,ML,52,54
PRL,,70,559
PRL,2,8,0
PRL,AK,11,15
PRL,BK,28,43
PRL,BR,22,13
PRL,CH,3,2
PRL,CHP,1,5
PRL,GY,32,106
PRL,OR,2,2
PRL,PK,58,1045
PRL,SSP,1,0
PRL,TAH,10,16
PRL,WH,56,1812
PRL,YM,18,30
PRL,YS,2,10
PTOUR,,177,9681
PTOUR,A,1,0
PTOUR,C,62,29
PTOUR,SP,1,3
RCR,,4,0
RDC,,3,4
RDF,,227,4431
RHO,,209,9253
RHO,C,6,2
RU,,8,21
RU,2,82,1009
RU,3,3,3
RU,C,68,345
RU,CS,94,497
RU,M,2,20
RU,SP,28,211
RUBE,,151,1254
RUBE,C,24,12
RUBE,GO,2,2
RUT,,14,18
RUT,BR,1,1
RUT,GO,23,32
RUT,SIL,5,7
SA,,8,47
SA,2,112,356
SA,3,2,3
SA,A,1,1
SA,BB,56,61
SA,BK,41,33
SA,BLST,1,1
SA,BST,10,19
SA,CS,78,173
SA,DD,26,43
SA,DF,4,3
SA,FF,20,0
SA,GR,65,586
SA,IC,46,1258
SA,LC,106,9054
SA,LCM,1,4
SA,LD,2,3
SA,LF,1,1
SA,LPL,8,5
SA,LVIO,15,43
SA,MVIO,2,4
