legacy_type,legacy_shade,products,bare,full,forms
ABA,,1,0.0,0.0,ABALONE 100%
AGA,,5,0.0,0.0,
AGA,BL,1,0.0,0.0,
AGA,GR,21,0.0,0.0,GREEN AGAT 50%; G.AGATE 50%
AGA,OR,4,0.0,0.0,ORANGE AGATE 100%
AGA,RED,3,0.0,0.0,
AGA,WH,60,0.0,0.0,W.AGATE 38%; W_AGATE 8%; W_AG 4%
AGA,YL,3,0.0,0.0,
AK1,,17,0.0,0.0,AKOYA 89%; AKOYO 11%
AK1,BK,5,0.0,0.0,B.AKOYA 100%
AK1,WH,8,0.0,0.0,W.AKOYA 75%; B.AKOYA 12%; CIT4A + W.PEARL 12%
ALX,,2,0.0,0.0,ALEXANDRITE 100%
AME,,2,0.5,0.0,TUR + AM 100%
AME,A,3513,0.163,0.0,L.AM 42%; LAM 19%; L.AM BRI 8%
AME,AA,3597,0.718,0.0,AM 56%; AM2A 12%; AMAA 4%
AME,AAA,417,0.149,0.0,AM3A 48%; AMAAA 25%; AM 4%
AME,C,322,0.084,0.0,AMC 71%; AMC + CHAIN 4%; AMC_SMOOTH 3%
AME,LAV,1,0.0,0.0,
AME,ML,26,0.077,0.0,AM.MK 50%; AM MK DP 50%
AMET,,4,1.0,0.0,
AMZ,,10,0.0,0.0,AMA_CB 50%; AMAZONITE 50%
AP,,131,0.107,0.0,APATITE 33%; SC + APATI 22%; APAT 22%
AP,GR,1,0.0,0.0,
AQ,A,38,0.132,0.079,AQUA 50%; AQU MILKY 12%; AQU1A 12%
AQ,AA,309,0.129,0.006,AQUA 38%; AQU2A 25%; AQUAA 15%
AQ,AAA,323,0.093,0.003,AQU3A 51%; AQUAAA 12%; AQ3A 11%
AQ,AAAA,44,0.045,0.0,AQU4A 43%; AQ4A 19%; AQUA CUS 10%
AQ,C,17,0.0,0.588,AQU.C 33%; AQUA C 11%; AQ.C 11%
AQ,ML,140,0.279,0.0,AQU.MK 10%; AQU.MK CAB 7%; AQU MK 7%
AQ,SP,1,0.0,1.0,
AVT,,18,0.167,0.0,
AVT,GR,2,0.0,0.0,
BAG,,18,0.0,0.0,B.AGATE 33%; B_AGATE 22%; B_AGATE_OM 11%
BDI,,9,0.0,0.0,B.DIOPSIDE 60%; BK.DIOP 20%; B_DIO 20%
BDI,BST,1,0.0,0.0,B.DIOP 100%
BKTOU,C,1,0.0,0.0,BLK TOUR 100%
BON,,7,0.0,0.0,BONE 57%; W.AGATE 29%; GOLD 14%
BRL,,3,0.0,0.0,Y.BER NO CENT 100%
BRL,SAL,1,0.0,0.0,
BRL,YL,1,0.0,0.0,
BRL,YM,1,0.0,0.0,LAVA + Y.BERYL 100%
BRZ,,9,0.0,0.0,BRONZITE 60%; BRONZ 40%
BT,,3,0.0,0.0,BTA BRUSH 33%; AAQUOTATION 33%; BTA 33%
BT,A,4489,0.057,0.707,BTA 67%; BTA BRI 7%; BTA_BRI 1%
BT,AA,898,0.035,0.065,BT2A 48%; BTAA 25%; BT2A BRI 6%
BT,AAA,2889,0.041,0.053,BT3A 39%; BTAAA 31%; BTAAA + SIL 2%
BT,AAAA,8,0.0,0.0,
BUT,,6,0.0,0.0,
BZ,,34,0.0,0.0,B.ZIRCON 29%; BL.ZIRCON 29%; BLU ZIR 14%
CAC,,169,0.0,0.0,CALCITE 58%; REPAIR CALCITE 5%; CALCITE SMOOTH 3%
CAM,,5,0.0,0.0,CAMEO 100%
CAR,,38,0.105,0.0,CARNELIAN 100%
CER,,1,0.0,0.0,CERAMIC 100%
CHA,,479,0.148,0.0,CHALCE 17%; CHAL 12%; B.CHAL 7%
CHA,BL,359,0.159,0.0,BL.CHAL 13%; CHAL 9%; BL.CHA 8%
CHA,C,5,0.0,0.2,
CHA,GR,12,0.0,0.0,GR.CHA 100%
CHA,LAV,2,0.0,0.0,
CHA,LI,16,0.0,0.0,
CHA,OR,1,0.0,0.0,
CHA,WH,7,0.0,0.0,W.CHAL 100%
CHP,,69,0.043,0.0,CHAM.Q 56%; CHAMP.Q BR 11%; CHAMPAIGN.Q 11%
CHP,A,21,0.095,0.0,CHQ 25%; CHAMP 25%; CH.Q 25%
CHR,,1,0.0,0.0,CHRYSO 100%
CHRP,,63,0.317,0.0,CHRY + MOP 40%; CHRYSOPRASE 20%; CHRYSOPRA 10%
